group_id,store,name,price,url,volume
2413,supermarket.am,"Chewing gum ""Dirol X-Fresh"" 16g Bilberry & Citrus",230.0,/en/products/zhev-rezinka-dirol-x-fresh-svezhost-cherniki-i-tsitrusa-g-rossiya_651255/,16g
2413,yerevan_city,"Chewing gum ""Dirol"" X-Fresh blueberry and citrus 16g",250.0,/shop/product-details/16720,16g
2413,sas,"Blueberry & citrus hewing gum ""Dirol X-Fresh"" 16g",260.0,/en/catalog/zhevatelnaya_rezinka/45595/,16g
2414,supermarket.am,"Fruit drops ""Tic Tac"" 16g Orange",300.0,/en/products/ledentsy-tic-tac-orange-g-irlandiya_18059/,16g
2414,sas,"Fruit drops ""Tic Tac"" 16g Orange",320.0,/en/catalog/konfety_v_upakovke/92408/,16g
2415,supermarket.am,"Fruit drops ""Tic Tac"" 16g Mint",300.0,/en/products/ledentsy-tic-tac-mint-fresh-g-irlandiya_18058/,16g
2415,sas,"Fruit drops ""Tic Tac"" 16g Mint",320.0,/en/catalog/konfety_v_upakovke/92404/,16g
2416,supermarket.am,"Dragee ""Grand Candy Joyco"" 150g",720.0,/en/products/drazhe-g-c-joyco-molochno-shokoladnoe-g-armeniya_525424/,150g
2416,sas,"Dragee ""Grand Candy Joyco"" 150g",790.0,/en/catalog/konfety_v_upakovke/44580/,150g
2416,yerevan_city,"Dragee ""Grand Candy"" Joyco, Bear 150g",750.0,/shop/product-details/16421,150g
2417,supermarket.am,"Chewing gum ""Mentos""100g Mint",1650.0,/en/products/zhev-rezinka-mentos-svezhaya-myata-g-pl-rossiya_11145/,100g
2417,sas,"Mint chewing gum ""Mentos"" 100g",1870.0,/en/catalog/zhevatelnaya_rezinka/45925/,100g
2417,yerevan_city,"Chewing gum ""Mentos"" fresh mint 50pcs 100g",1720.0,/shop/product-details/2056,100g
2418,supermarket.am,"Chewing gum ""Mentos"" 16g Mint",200.0,/en/products/zhev-rezinka-mentos-svezhaya-myata-g-_513475/,16g
2419,supermarket.am,"Chewing gum ""Mentos Pure White"" 15.5g Strawberry",200.0,/en/products/_677962/,15g
2419,sas,"Strawberry  chewing gum ""Mentos Pure White"" 15.5g",220.0,/en/catalog/zhevatelnaya_rezinka/2562/,15g
2419,yerevan_city,"Chewing gum ""Mentos"" Pure, strawberry 15.5g",200.0,/shop/product-details/6097,15g
2420,supermarket.am,"Caramel ""Chupa Chups Mini"" 15x6g",480.0,/en/products/_989733/,6g
2421,supermarket.am,"Fruit drops ""Tic Tac Strawberry Fields"" 16g Strawberry",300.0,/en/products/ledentsy-tic-tac-streawberry-g-irlandiya_244951/,16g
2421,sas,"Fruit drops ""Tic Tac"" 16g Strawberry",320.0,/en/catalog/konfety_v_upakovke/92411/,16g
2422,supermarket.am,"Toffee candies ""Meller"" 38g",280.0,/en/products/konfety-iris-meller-s-shokoladom-g-rossiya_15739/,38g
2422,yerevan_city,"Toffee ""Meller"" chocolate 38g",280.0,/shop/product-details/17109,38g
2422,sas,"Toffee with chocolate ""Meller"" 38g",310.0,/en/catalog/konfety_v_upakovke/80146/,38g
2423,supermarket.am,"Chocolate egg ""Kinder Surprise Maxi"" 100g pcs.",2890.0,/en/products/yaytso-shok-kinder-g-_34942/,100g
2423,sas,"Chocolate egg ""Kinder Surprise Maxi"" 100g",2990.0,/en/catalog/konfety_v_upakovke/209442/,100g
2423,yerevan_city,"Chocolate egg ""Kinder"" surprise Maxi 100g",2590.0,/shop/product-details/32474,100g
2424,supermarket.am,"Lollipop ""Chupa Chups XXL"" 29g Orange",160.0,/en/products/konfeta-chupa-chups-xxl-g_15016/,29g
2424,sas,"Lollipop ""Chupa Chups XXL"" 29g",170.0,/en/catalog/konfety_v_upakovke/77835/,29g
2424,yerevan_city,"Lollipop ""Chupa Chups"" 2XL 4D 29g",160.0,/shop/product-details/18691,29g
2425,supermarket.am,"Chewing gum ""Orbit"" 14g Menthol",140.0,/en/products/zhev-rezinka-orbit-winterfresh-g-rossiya_11211/,14g
2425,sas,"Hot chewing gum ""Orbit"" 14g",150.0,/en/catalog/zhevatelnaya_rezinka/46032/,14g
2426,supermarket.am,"Chewing gum ""Mentos"" Tutti frutti",1290.0,/en/products/zhev-rezinka-mentos-pure-fresh-zelennyy-chay-g-pl-banka-_223742/,
2426,yerevan_city,"Chewing gum ""Mentos"" tutti frutti 54g",1290.0,/shop/product-details/10002,54g
2426,sas,"Tutti-frutti chewing gum ""Mentos"" 100g",1770.0,/en/catalog/zhevatelnaya_rezinka/2571/,100g
2427,supermarket.am,"Lollipops ""Halls"" 24.5g Menthol",160.0,/en/products/ledentsy-halls-so-vkusom-mentol-ekstra-g-rossiya_651251/,24g
2427,yerevan_city,"Lollipops ""Halls"" extra menthol 24.5g",160.0,/shop/product-details/2530,24g
2428,supermarket.am,"Lollipop ""Chupa Chups Melody Pops"" 15g Strawberry",190.0,/en/products/konfeta-chupa-chups-melody-pops-g-_15015/,15g
2428,sas,"Lollipop ""Chupa Chups Melody Pops"" 15g",220.0,/en/catalog/konfety_v_upakovke/77833/,15g
2428,yerevan_city,"Lollipop ""Chupa Chups"" Melody, cola 15g",290.0,/shop/product-details/90820,15g
2429,supermarket.am,"Caramel ""Chupa Chups"" 12g",100.0,/en/products/konfeta-chupa-chups-fruittella_15014/,12g
2430,supermarket.am,"Chewing gum ""Mentos Pure Fresh"" 15.5g Watermelon",200.0,/en/products/_989712/,15g
2430,yerevan_city,"Chewing gum ""Mentos"" Pure, watermelon 15.5g",200.0,/shop/product-details/10895,15g
2430,sas,"Watermelon chewing gum ""Mentos Pure Fresh"" 15.5g",220.0,/en/catalog/zhevatelnaya_rezinka/5135/,15g
2431,supermarket.am,"Lollipops ""Halls Cool"" 33g Watermelon",160.0,/en/products/ledentsy-halls-so-vkusom-arbuza-g-rossiya_18011/,33g
2432,supermarket.am,"Dragee ""Granc Candy Joyco Smeshariki"" 150g",720.0,/en/products/_677488/,150g
2432,sas,"Chocolate dragee ""Grand Candy Joyco"" 150g",790.0,/en/catalog/konfety_v_upakovke/14075/,150g
2433,supermarket.am,"Chewing gum ""Mentos"" 16g Tutti frutti",200.0,/en/products/zhev-rezinka-mentos-tutti-frutti-g-_513476/,16g
2434,supermarket.am,"Chewing gum ""Mentos Pure White"" 54g Tender mint",1290.0,/en/products/zhev-rezinka-mentos-pure-white-nezhnaya-myata-g-pl-rossiya_538911/,54g
2434,sas,"Mint chewing gum ""Mentos Pure White"" 54g",1320.0,/en/catalog/zhevatelnaya_rezinka/45894/,54g
2434,yerevan_city,"Chewing gum ""Mentos"" gentle mint 54g",1290.0,/shop/product-details/1862,54g
